"","unique.date","crime_frequency","year","month","day","binary"
"267",2006-09-24,628,2006,9,24,1
"268",2006-09-25,641,2006,9,25,0
"269",2006-09-26,779,2006,9,26,0
"270",2006-09-27,728,2006,9,27,0
"271",2006-09-28,715,2006,9,28,0
"272",2006-09-29,656,2006,9,29,0
"273",2006-09-30,635,2006,9,30,0
"274",2006-10-01,682,2006,10,1,0
"275",2006-10-02,647,2006,10,2,1
"276",2006-10-03,669,2006,10,3,0
"277",2006-10-04,690,2006,10,4,0
"278",2006-10-05,666,2006,10,5,0
"279",2006-10-06,575,2006,10,6,0
"280",2006-10-07,611,2006,10,7,0
"281",2006-10-08,658,2006,10,8,1
"282",2006-10-09,687,2006,10,9,0
"283",2006-10-10,697,2006,10,10,0
"284",2006-10-11,642,2006,10,11,0
"285",2006-10-12,718,2006,10,12,0
"286",2006-10-13,594,2006,10,13,0
"287",2006-10-14,582,2006,10,14,0
"288",2006-10-15,607,2006,10,15,1
"289",2006-10-16,647,2006,10,16,0
"290",2006-10-17,681,2006,10,17,0
"291",2006-10-18,730,2006,10,18,0
"292",2006-10-19,714,2006,10,19,0
"293",2006-10-20,593,2006,10,20,0
"294",2006-10-21,672,2006,10,21,0
"295",2006-10-22,698,2006,10,22,1
"296",2006-10-23,691,2006,10,23,0
"297",2006-10-24,693,2006,10,24,0
"298",2006-10-25,713,2006,10,25,0
"299",2006-10-26,718,2006,10,26,0
"300",2006-10-27,583,2006,10,27,0
"301",2006-10-28,606,2006,10,28,0
"302",2006-10-29,681,2006,10,29,1
"303",2006-10-30,824,2006,10,30,0
"304",2006-10-31,750,2006,10,31,0
"305",2006-11-01,744,2006,11,1,0
"306",2006-11-02,693,2006,11,2,0
"307",2006-11-03,572,2006,11,3,0
"308",2006-11-04,591,2006,11,4,0
"309",2006-11-05,572,2006,11,5,0
"310",2006-11-06,700,2006,11,6,0
"311",2006-11-07,715,2006,11,7,0
"312",2006-11-08,596,2006,11,8,0
"313",2006-11-09,660,2006,11,9,0
"314",2006-11-10,631,2006,11,10,0
"315",2006-11-11,650,2006,11,11,0
"316",2006-11-12,684,2006,11,12,1
"317",2006-11-13,573,2006,11,13,0
"318",2006-11-14,675,2006,11,14,0
"319",2006-11-15,751,2006,11,15,0
"320",2006-11-16,704,2006,11,16,0
"321",2006-11-17,671,2006,11,17,0
"322",2006-11-18,641,2006,11,18,0
"323",2006-11-19,590,2006,11,19,1
"324",2006-11-20,642,2006,11,20,0
"325",2006-11-21,576,2006,11,21,0
"326",2006-11-22,561,2006,11,22,0
"327",2006-11-23,370,2006,11,23,0
"328",2006-11-24,615,2006,11,24,0
"329",2006-11-25,659,2006,11,25,0
"330",2006-11-26,711,2006,11,26,1
"331",2006-11-27,666,2006,11,27,0
"332",2006-11-28,667,2006,11,28,0
"333",2006-11-29,683,2006,11,29,0
"334",2006-11-30,709,2006,11,30,0
"335",2006-12-01,644,2006,12,1,0
"336",2006-12-02,652,2006,12,2,0
"337",2006-12-03,694,2006,12,3,0
"338",2006-12-04,597,2006,12,4,1
"339",2006-12-05,599,2006,12,5,0
"340",2006-12-06,646,2006,12,6,0
"341",2006-12-07,636,2006,12,7,0
"342",2006-12-08,519,2006,12,8,0
"343",2006-12-09,543,2006,12,9,0
"344",2006-12-10,576,2006,12,10,1
"345",2006-12-11,658,2006,12,11,0
"346",2006-12-12,738,2006,12,12,0
"347",2006-12-13,693,2006,12,13,0
"348",2006-12-14,648,2006,12,14,0
"349",2006-12-15,662,2006,12,15,0
